collision_date,day,year,mo,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS,co2,wind,so2,pressure
2012-07-01,7,2012,7,83.6,63.0,1008.9,9.7,4.1,9.9,18.1,93.0,66.0,0.0,999.9,0,538,14.589583000000003,134.91354149999998,3.9656249999999997,999.4416664
2012-07-02,1,2012,7,80.3,54.1,1011.6,10.0,3.8,15.0,999.9,88.0,66.9,0.0,999.9,0,564,13.743749999999995,143.53125000000003,1.2645832500000007,1002.3106062
2012-07-03,2,2012,7,79.8,56.7,1012.8,10.0,2.9,12.0,999.9,88.0,63.0,0.0,999.9,0,664,17.1375905,124.85520825000005,1.76473225,1002.4833332
2012-07-04,3,2012,7,81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91.0,68.0,0.06,999.9,0,432,12.175,125.92083300000007,1.9020832500000002,998.53333340000006
2012-07-05,4,2012,7,86.7,64.3,1007.4,9.4,3.8,15.0,999.9,93.9,70.0,99.99,999.9,0,591,11.287500000000001,126.29375000000002,1.2437500000000001,998.07500000000039
2012-07-06,5,2012,7,81.9,62.3,1011.7,10.0,3.1,9.9,999.9,91.0,66.9,0.0,999.9,0,638,15.721381500000003,81.207291499999982,1.1229165000000005,1002.1083333999999
2012-07-07,6,2012,7,84.9,65.9,1010.1,9.5,3.1,14.0,17.1,95.0,70.0,0.0,999.9,0,490,14.583333499999998,131.10108700000004,1.7781249999999993,1000.0500000000001
2012-07-08,7,2012,7,80.6,65.5,1010.1,8.5,3.1,8.0,15.9,90.0,70.0,0.59,999.9,0,464,9.8999999999999968,103.17083349999999,0.81145825000000016,1000.5416666000003
2012-07-09,1,2012,7,78.5,56.8,1012.7,10.0,3.5,9.9,999.9,84.0,68.0,0.09,999.9,0,533,10.2604165,67.32083350000002,0.67150974999999968,1003.6416666000001
2012-07-10,2,2012,7,76.5,56.3,1016.0,10.0,3.4,9.9,999.9,86.0,61.0,0.0,999.9,0,524,12.833333499999998,75.097916500000039,1.0590774999999997,1007.1976188000003
2012-07-11,3,2012,7,77.1,62.0,1019.9,10.0,1.9,7.0,999.9,84.0,64.9,0.0,999.9,0,565,13.580357000000003,76.81354174999997,0.97934775000000007,1011.308333
2012-07-12,4,2012,7,77.4,60.2,1021.7,10.0,2.3,7.0,999.9,88.0,57.0,0.0,999.9,0,577,17.158332999999995,94.16354149999998,1.4645832499999998,1012.4833331999998
2012-07-13,5,2012,7,78.9,60.7,1021.8,9.9,3.0,7.0,999.9,87.1,63.0,0.0,999.9,0,603,22.802083000000007,97.217708499999972,2.2177085,1012.5333334
2012-07-14,6,2012,7,78.5,62.7,1021.6,10.0,3.5,13.0,19.0,82.0,68.0,0.0,999.9,1,536,14.945833499999996,124.29166700000002,1.5302084999999994,1012.3833334000001
2012-07-15,7,2012,7,79.7,68.6,1018.3,9.1,2.8,13.0,999.9,87.1,70.0,0.0,999.9,0,494,12.839583499999994,104.73541675000001,1.6177082500000002,1007.8513159999994
2012-07-16,1,2012,7,79.0,67.9,1011.5,9.2,4.0,14.0,22.0,91.0,70.0,0.26,999.9,0,528,12.959963999999994,146.78437475000007,1.3395832499999996,1001.1318183999998
2012-07-17,2,2012,7,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70.0,0.0,999.9,0,648,17.791666500000012,124.67812499999997,1.96666675,999.25833319999981
2012-07-18,3,2012,7,85.3,69.1,1008.9,7.2,3.7,13.0,20.0,100.0,73.0,0.0,999.9,1,559,24.211622999999996,109.08020850000001,2.504762,999.84393960000011
2012-07-19,4,2012,7,73.3,67.2,1013.2,7.5,3.4,15.0,18.1,75.9,68.0,1.76,999.9,0,522,14.241666500000003,58.739488750000056,1.1020832499999995,1004.2833332000004
2012-07-20,5,2012,7,67.2,62.8,1014.9,7.4,6.5,13.0,21.0,73.9,61.0,0.17,999.9,0,604,11.225000000000001,33.306250249999991,0.42604150000000018,1006.6000002
2012-07-21,6,2012,7,68.1,58.5,1018.3,9.8,4.1,12.0,999.9,77.0,57.9,0.43,999.9,0,528,8.9416665,56.7354165,0.671875,1009.3083331999999
2012-07-22,7,2012,7,72.5,59.4,1020.3,10.0,2.0,8.0,999.9,82.0,54.0,0.0,999.9,0,498,12.6,89.76666674999997,1.3489584999999997,1011.1166666000001
