day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
5,2020,1,24,01/24/2020,37.3,33.7,1028.5,6.5,3.3,8,999.9,46,19.9,0,999.9,1,523
1,2020,1,13,01/13/2020,42.5,37,1029.6,9.5,9.2,13,999.9,57,39.9,0.01,999.9,0,473
2,2020,1,7,01/07/2020,39,26.6,1016.6,10,8,13,999.9,43,24.1,0,999.9,0,402
3,2020,1,15,01/15/2020,43.9,38.3,1019.4,8.2,5.4,14,15,51.1,35.1,0.02,999.9,1,505
5,2020,1,3,01/03/2020,45.8,42.9,1010.3,7,10.3,15,999.9,46.9,33.1,0,999.9,1,452
4,2020,1,30,01/30/2020,31.6,19.4,1023.4,10,9.4,15,999.9,37,21.9,0,999.9,0,522
1,2020,1,6,01/06/2020,33.5,24,1013.2,9.9,5.3,15,999.9,43,24.1,0.01,999.9,1,455
7,2020,1,26,01/26/2020,44.3,40.7,1006.4,6.5,13,19,28,51.1,36,0.44,999.9,1,395
4,2020,1,2,01/02/2020,39.6,28.9,1011.8,10,13,19,26,46,33.1,0.01,999.9,0,409
3,2020,1,1,01/01/2020,40.3,29.9,1003,10,11.4,20,26,52,36,0.01,999.9,1,336
1,2020,1,20,01/20/2020,28.1,16.1,1015.1,10,15.7,20,27,46.9,21.9,0.04,999.9,0,389
6,2020,1,25,01/25/2020,43.1,39.6,1023.5,9,12.3,20,28.9,48.9,28,0,999.9,1,383
6,2020,1,11,01/11/2020,49.4,46.1,1028.6,6.7,13.8,21,27,53.1,46.9,0,999.9,1,438
4,2020,1,9,01/09/2020,29.5,10.8,1030.7,10,15.3,22,35,42.1,24.1,0.34,999.9,0,517
7,2020,1,19,01/19/2020,41.2,35.8,1004.9,7.5,14.4,22,27,46.9,19,0.21,999.9,1,360
7,2020,1,12,01/12/2020,52,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0,999.9,1,387
7,2020,1,5,01/05/2020,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36,0.38,999.9,1,286
4,2016,1,28,01/28/2016,35,24.4,1016.1,10,4.3,8.9,999.9,46,23,0.09,999.9,0,681
1,2016,1,25,01/25/2016,33.5,21.2,1021.4,10,6.5,8.9,999.9,37.9,30,0.02,999.9,0,658
2,2020,1,14,01/14/2020,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0,999.9,0,497
3,2020,1,22,01/22/2020,27.1,14.3,1029.8,10,4.2,8.9,999.9,34,17.1,0,999.9,0,488
5,2020,1,31,01/31/2020,29.8,22.3,1027.4,10,3.3,8.9,999.9,39.9,19,0,999.9,0,517
5,2014,1,17,01/17/2014,38.6,35.8,1014.8,6.7,3.7,8.9,999.9,44.1,32,0,999.9,1,589
7,2013,1,13,01/13/2013,45.4,44.9,1020.7,4.3,5.8,9.9,999.9,46.9,44.1,0.01,999.9,1,373
2,2013,1,29,01/29/2013,35.4,34.9,1019,2.6,4.9,9.9,999.9,37.4,33.1,0.08,999.9,1,542
5,2017,1,20,01/20/2017,39.9,32.5,1015.5,10,4.3,9.9,999.9,45,37,0,999.9,0,605
5,2016,1,29,01/29/2016,41.3,36.8,999.4,10,5.9,9.9,999.9,45,23,0,999.9,0,645
6,2020,1,4,01/04/2020,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1,347
5,2014,1,10,01/10/2014,28.8,22.6,1034.1,9.7,5.8,11.1,999.9,39.2,12.9,0,999.9,0,667
4,2014,1,16,01/16/2014,40.8,39.3,1010.6,4.6,5.9,11.1,999.9,46,32,0,999.9,0,521
4,2020,1,23,01/23/2020,32.3,26.5,1029.2,9.7,4.7,11.1,999.9,45,17.1,0,999.9,0,450
5,2013,1,11,01/11/2013,38,31.4,1030.6,10,5.4,11.1,999.9,44.1,32,0,999.9,0,660
1,2018,1,22,01/22/2018,36.4,35.9,1023.6,7.6,4,11.1,999.9,48.9,27,0,999.9,0,559
3,2013,1,9,01/09/2013,39.9,37.6,1026.2,6.8,5.3,11.1,999.9,46,28,0,999.9,1,487
7,2016,1,17,01/17/2016,40.2,32.3,1007.3,9.2,7.7,12,18.1,51.1,36,0.77,999.9,0,451
